SAS_No,Parti No,Malzeme Kodu,Teslimat Miktarı
SAS-5581743944,2604032066,120577756,2
SAS-5581743944,2604032033,120577756,2
SAS-5581743944,2604032031,120577756,2
SAS-5581743944,2604032047,120577756,2
SAS-5581743944,2604032046,120577756,2
SAS-5581743944,2604022862,120577757,2
SAS-5581743944,2604022863,120577757,2
SAS-5581743944,2604032101,120577756,2
SAS-5581743944,2604022864,120577757,2
SAS-5581743944,2604022865,120577757,2
SAS-5581743944,2604022874,120577757,2
SAS-5581743944,2604032075,120577756,2
SAS-5581743944,2604032117,120577756,2
SAS-5581743944,2604032100,120577756,1
SAS-5581743944,2604032043,120577756,2
SAS-5581743944,2604032042,120577756,2
SAS-5581743944,2604032045,120577756,2
SAS-5581743944,2604032044,120577756,2
SAS-5581743944,2604022820,120577757,2
SAS-5581743944,2604022819,120577757,2
SAS-5581743944,2604022818,120577757,2
SAS-5581743944,2604022817,120577757,2
SAS-5581743944,2604022821,120577757,2
SAS-5581743944,2604032073,120577756,2
SAS-5581743944,2604032074,120577756,2
SAS-5581743944,2604032272,120577754,2
SAS-5581743944,2602260892,120577754,2
SAS-5581743944,2604022799,120578240,2
SAS-5581743944,2604061173,120240820,75
SAS-5581743944,2604061337,120240820,75
SAS-5581743944,2604061147,120240820,55
SAS-5581743944,2604061165,120240820,75
SAS-5581743944,2604061162,120240820,75
SAS-5581743944,2604061161,120240820,75
SAS-5581743944,2604061160,120240820,75
SAS-5581743944,2604061158,120240820,75
SAS-5581743944,2604061157,120240820,75
SAS-5581743944,2604061175,120240820,75
SAS-5581743944,2604061151,120240820,75
SAS-5581743944,2604061149,120240820,75
SAS-5581743944,2604061335,120240820,75
SAS-5581743944,2604061333,120240820,75
SAS-5581743944,2604061340,120240820,70
SAS-5581743944,2604061330,120240820,75
SAS-5581743944,2604061150,120240820,75
SAS-5581743944,2604061152,120240820,75
SAS-5581743944,2604061153,120240820,75
SAS-5581743944,2604061163,120240820,75
SAS-5581743944,2604061167,120240820,75
SAS-5581743944,2604061155,120240820,75
SAS-5581743944,2604032021,120578240,2
SAS-5581743944,2604032019,120578240,2
SAS-5581743944,2604032020,120578240,2
SAS-5581743944,2604022809,120578240,2
SAS-5581743944,2604022808,120578240,2
SAS-5581743944,2604022802,120578240,2
SAS-5581743944,2604022801,120578240,2
SAS-5581743944,2604022810,120578240,2
SAS-5581743944,2604022796,120578240,2
SAS-5581743944,2604022797,120578240,2
SAS-5581743944,2604022798,120578240,2
SAS-5581743944,2604032278,120577754,2
SAS-5581743944,2604022876,120577757,2
SAS-5581743944,2604022877,120577757,2
SAS-5581743944,2604040124,120577755,2
SAS-5581743944,2604040125,120577755,2
SAS-5581743944,2604040126,120577755,2
SAS-5581743944,2604040143,120577755,2
SAS-5581743944,2604040127,120577755,2
SAS-5581743944,2604032125,120577756,2
SAS-5581743944,2604032121,120577756,2
SAS-5581743944,2604040160,120577753,2
SAS-5581743944,2604040164,120577753,2
SAS-5581743944,2604040148,120577753,2
SAS-5581743944,2604040149,120577753,2
SAS-5581743944,2604040150,120577753,2
SAS-5581743944,2604040151,120577753,2
SAS-5581743944,2604040152,120577753,2
SAS-5581743944,2604040157,120577753,2
SAS-5581743944,2604040158,120577753,2
SAS-5581743944,2604040159,120577753,2
SAS-5581743944,2604031176,120006667,140
SAS-5581743944,2604031177,120006667,140
SAS-5581743944,2604031174,120006667,140
SAS-5581743944,2604031178,120006667,140
SAS-5581743944,2604031179,120006667,140
SAS-5581743944,2604031190,120006667,140
SAS-5581743944,2604031180,120006667,140
SAS-5581743944,2604031181,120006667,140
SAS-5581743944,2604031194,120006667,140
SAS-5581743944,2604031193,120006667,140
SAS-5581743944,2604022875,120577757,2
SAS-5581743944,2604042371,120577755,2
SAS-5581743944,2604040051,120577755,2
SAS-5581743944,2604040050,120577755,2
SAS-5581743944,2604040049,120577755,2
SAS-5581743944,2604040047,120577755,2
SAS-5581743944,2604040048,120577755,2
SAS-5581743944,2604031158,120578241,2
SAS-5581743944,2604031159,120578241,2
SAS-5581743944,2604031154,120578241,2
SAS-5581743944,2604040074,120577755,2
SAS-5581743944,2604040075,120577755,2
SAS-5581743944,2604040076,120577755,2
SAS-5581743944,2604040080,120577755,2
SAS-5581743944,2604040081,120577755,2
SAS-5581743944,2604032189,120577758,2
SAS-5581743944,2604032196,120577758,1
SAS-5581743944,2604032197,120577758,1
SAS-5581743944,2604032118,120577756,2
SAS-5581743944,2604032201,120577758,1
SAS-5581743944,2604040105,120577755,2
SAS-5581743944,2604040095,120577755,2
SAS-5581743944,2604040094,120577755,2
SAS-5581743944,2604040093,120577755,2
SAS-5581743944,2604040088,120577755,2
SAS-5581743944,2604040070,120577755,2
SAS-5581743944,2604040073,120577755,2
SAS-5581743944,2604040071,120577755,2
SAS-5581743944,2604040063,120577755,1
SAS-5581743944,2604040061,120577755,2
SAS-5581743944,2604032202,120577758,1
SAS-5581743944,2604032203,120577758,1
SAS-5581743944,2604032199,120577758,1
SAS-5581743944,2604032198,120577758,1
SAS-5581743944,2604042360,120577753,3
SAS-5581743944,2604032346,120577753,3
