hammadde kodu;YARI MAMUL ADI;BAĞLI BLOK STOK KODU;BAĞLI BLOK STOK ADI
HASUPL11612;YARIMAMUL SÜNGER 27 DNS YEŞİL ALOVERA SOFT PLAKA 198X158X3;HASURL0309;SUNGER RULO 27 DNS ALOVERA YESIL 198X3 SOFT
HASUPL11614;YARIMAMUL SÜNGER 27 DNS YEŞİL ALOVERA SOFT PLAKA 198X158X4;HASURL0310;SUNGER RULO 27 DNS ALOVERA YESIL 198X3,8 SOFT
HASUPL11616;YARIMAMUL SÜNGER 27 DNS YEŞİL ALOVERA SOFT PLAKA 198X178X2,5;HASURL0308;SUNGER RULO 27 DNS ALOVERA YESIL 198X2,5 SOFT
HASUPL11617;YARIMAMUL SÜNGER 27 DNS YEŞİL ALOVERA SOFT PLAKA 198X178X3;HASURL0309;SUNGER RULO 27 DNS ALOVERA YESIL 198X3 SOFT
HASUPL11619;YARIMAMUL SÜNGER 27 DNS YEŞİL ALOVERA SOFT PLAKA 198X178X4;HASURL0310;SUNGER RULO 27 DNS ALOVERA YESIL 198X3,8 SOFT
HASUPL11620;YARIMAMUL SÜNGER 27 DNS YEŞİL ALOVERA SOFT PLAKA 198X181X4;HASURL0310;SUNGER RULO 27 DNS ALOVERA YESIL 198X3,8 SOFT
HASUPL11621;YARIMAMUL SÜNGER 27 DNS YEŞİL ALOVERA SOFT PLAKA 198X183X2,5;HASURL0308;SUNGER RULO 27 DNS ALOVERA YESIL 198X2,5 SOFT
HASUPL11623;YARIMAMUL SÜNGER 27 DNS YEŞİL ALOVERA SOFT PLAKA 198X198X2,5;HASURL0308;SUNGER RULO 27 DNS ALOVERA YESIL 198X2,5 SOFT
HASUPL11624;YARIMAMUL SÜNGER 27 DNS YEŞİL ALOVERA SOFT PLAKA 198X198X3;HASURL0309;SUNGER RULO 27 DNS ALOVERA YESIL 198X3 SOFT
HASUPL11625;YARIMAMUL SÜNGER 27 DNS YEŞİL ALOVERA SOFT PLAKA 198X198X4;HASURL0310;SUNGER RULO 27 DNS ALOVERA YESIL 198X3,8 SOFT
HASUPL11626;YARIMAMUL SÜNGER 27 DNS YEŞİL ALOVERA SOFT PLAKA 198X68X4;HASURL0310;SUNGER RULO 27 DNS ALOVERA YESIL 198X3,8 SOFT
HASUPL11628;YARIMAMUL SÜNGER 27 DNS YEŞİL ALOVERA SOFT PLAKA 198X78X4;HASURL0310;SUNGER RULO 27 DNS ALOVERA YESIL 198X3,8 SOFT
HASUPL11631;YARIMAMUL SÜNGER 27 DNS YEŞİL ALOVERA SOFT PLAKA 198X88X2,5;HASURL0308;SUNGER RULO 27 DNS ALOVERA YESIL 198X2,5 SOFT
HASUPL11632;YARIMAMUL SÜNGER 27 DNS YEŞİL ALOVERA SOFT PLAKA 198X88X3;HASURL0309;SUNGER RULO 27 DNS ALOVERA YESIL 198X3 SOFT
